0,0,0,8:20 PM
1,0,0,8:20 PM
2,1,1,8:21 PM
3,2,1,8:22 PM
4,2,0,8:22 PM
5,3,1,8:23 PM
6,3,0,8:03 PM
7,4,1,8:04 PM
8,4,0,8:04 PM
9,5,1,8:05 PM
10,7,2,8:07 PM
11,8,1,8:08 PM
12,9,1,8:09 PM
13,10,1,8:10 PM
14,11,1,8:11 PM
15,12,1,8:12 PM
16,13,1,8:13 PM
17,14,1,8:14 PM
18,15,1,8:15 PM
19,16,1,8:16 PM
20,16,0,8:16 PM
21,17,1,8:17 PM
22,18,1,8:18 PM
23,23,5,8:03 PM
24,25,2,8:05 PM
25,26,1,8:06 PM
26,27,1,8:07 PM
27,28,1,8:08 PM
28,29,1,8:09 PM
29,30,1,8:10 PM
30,30,0,8:10 PM
31,31,1,8:11 PM
32,32,1,8:12 PM
33,33,1,8:13 PM
34,34,1,8:14 PM
35,34,0,8:14 PM
36,35,1,8:15 PM
37,35,0,8:15 PM
38,36,1,8:16 PM
39,36,0,8:16 PM
40,36,0,8:16 PM
41,37,1,8:17 PM
42,37,0,8:17 PM
43,37,0,8:17 PM
44,38,1,8:18 PM
45,38,0,8:18 PM
46,39,1,8:19 PM
47,44,5,8:04 PM
48,45,1,8:05 PM
49,45,0,8:05 PM
50,46,1,8:06 PM
51,46,0,8:06 PM
52,47,1,8:07 PM
53,47,0,8:07 PM
54,47,0,8:07 PM
55,48,1,8:08 PM
56,48,0,8:08 PM
57,49,1,8:09 PM
58,49,0,8:09 PM
59,50,1,8:10 PM
60,50,0,8:10 PM
61,50,0,8:10 PM
62,51,1,8:11 PM
63,51,0,8:11 PM
64,51,0,8:11 PM
65,52,1,8:12 PM
66,52,0,8:12 PM
67,53,1,8:13 PM
68,53,0,8:13 PM
69,54,1,8:14 PM
70,54,0,8:14 PM
71,55,1,8:15 PM
72,55,0,8:15 PM
73,56,1,8:16 PM
74,57,1,8:17 PM
75,57,0,8:17 PM
76,58,1,8:18 PM
77,58,0,8:18 PM
78,59,1,8:19 PM
79,60,1,8:20 PM
80,60,0,8:20 PM
81,60,0,8:20 PM
82,65,5,8:05 PM
83,65,0,8:05 PM
84,66,1,8:06 PM
85,66,0,8:06 PM
86,67,1,8:07 PM
87,67,0,8:07 PM
88,68,1,8:08 PM
89,68,0,8:08 PM
90,69,1,8:09 PM
91,70,1,8:10 PM
92,70,0,8:10 PM
93,70,0,8:10 PM
94,71,1,8:11 PM
95,71,0,8:11 PM
96,72,1,8:12 PM
97,72,0,8:12 PM
98,73,1,8:13 PM
99,73,0,8:13 PM
100,74,1,8:14 PM
101,74,0,8:14 PM
102,75,1,8:15 PM
103,76,1,8:16 PM
104,76,0,8:16 PM
105,77,1,8:17 PM
106,78,1,8:18 PM
107,79,1,8:19 PM
108,80,1,8:20 PM
109,80,0,8:20 PM
110,85,5,8:05 PM
111,86,1,8:06 PM
112,87,1,8:07 PM
113,88,1,8:08 PM
114,89,1,8:09 PM
115,90,1,8:10 PM
116,90,0,8:10 PM
